58623392,A Tea Witch's Grimoire: Magical recipes for your teatime,S.M. Harlow,"Harlow, S.M.",,,,0,4.01,,Kindle Edition,,2021,,,2022/09/19,"to-read, kindle-unlimited, witchcraft","to-read (#596), kindle-unlimited (#6), witchcraft (#31)",to-read,,,,0,0
33413887,"Birding Without Borders: An Obsession, a Quest, and the Biggest Year in the World",Noah Strycker,"Strycker, Noah",,0544558146,9780544558144,0,4.25,Houghton Mifflin Harcourt,Hardcover,336,2017,2017,,2022/09/18,to-read,to-read (#595),to-read,,,,0,0
42134499,Mary Newcomb: Drawing from Observation,Tessa Newcomb;William Packer,"Packer, Tessa Newcomb;William",,1848222955,9781848222953,0,4.33,Lund Humphries,Hardcover,144,2018,,,2022/09/18,"to-read, art","to-read (#594), art (#9)",to-read,,,,0,0
6317527,Marcus Aurelius: A Life,Frank McLynn,"McLynn, Frank",,0306818302,9780306818301,0,3.74,Da Capo Press,Hardcover,720,2009,2009,,2022/09/18,to-read,to-read (#593),to-read,,,,0,0
9997317,The Reign Of Antoninus Pius (1895),Ernest Edward Bryant,"Bryant, Ernest Edward",,1166595730,9781166595739,0,3,Kessinger Publishing,Paperback,234,2010,2009,,2022/09/18,to-read,to-read (#592),to-read,,,,0,0
41014466,A Walk in the Wood: Meditations on Mindfulness with a Bear Named Pooh,Joseph Parent,"Parent, Joseph",Nancy Parent,1684413982,9781684413980,3,3.86,HighBridge Audio,Audio CD,,2018,,2022/09/17,2020/09/09,,,read,"A nice easy introduction to mindfulness. There are a lot of good quotes throughout, and the story in-between was entertaining. My only issue with it would be that a lot of the things that are said by Pooh and his friends often don't sound like something they would say. I'd say it was about half and half in that regard. It's written by someone else and I don't think matching A.A. Milne's style was the ultimate goal, but it was still pretty good.",,,1,0
11799375,"Breverton's Phantasmagoria: A Compendium of Monsters, Myths and Legends",Terry Breverton,"Breverton, Terry",,0762770236,9780762770236,0,4.02,Lyons Press,Hardcover,384,2011,2011,,2022/09/17,to-read,to-read (#591),to-read,,,,0,0
152382,"Mary Poppins Comes Back (Mary Poppins, #2)",P.L. Travers,"Travers, P.L.",Mary Shepard,0152058168,9780152058166,0,4.01,Clarion Books,Hardcover,312,2006,1935,,2021/10/27,"owned-to-read, to-read","owned-to-read (#159), to-read (#590)",to-read,,,,0,0
25647824,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson,"Gibson, Lindsay C.",,,,0,4.4,New Harbinger Publications,Kindle Edition,218,2015,2015,,2020/08/18,"scld, libby, owned-to-read, self, to-read","scld (#11), libby (#44), owned-to-read (#203), self (#31), to-read (#589)",to-read,,,,0,0
14096,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,"Kabat-Zinn, Jon",,1401307787,9781401307783,0,4.12,Hachette Books,Paperback,304,2005,1994,,2022/09/12,"to-read, buddhism, libby","to-read (#588), buddhism (#61), libby (#69)",to-read,,,,0,0
22553690,Art Before Breakfast: A Zillion Ways to be More Creative No Matter How Busy You Are,Danny Gregory,"Gregory, Danny",,1452135479,9781452135472,3,4.01,Chronicle Books,Paperback,160,2015,2015,,2022/09/09,art,art (#7),read,,,,1,0
29502605,Christmas Days: 12 Stories and 12 Feasts for 12 Days,Jeanette Winterson,"Winterson, Jeanette",,0802125832,9780802125835,0,3.96,Grove Press,Hardcover,293,2016,2016,,2022/09/11,"to-read, christmas","to-read (#587), christmas (#29)",to-read,,,,0,0
